Birth frame,Birth ID,End frame,End ID,End of Movie,Died1,FUCCI_ON_FRAME,Questionable1,Questionable2,Notes,Birthtimeh,Lifetimeh,EOM,died,G1_time,S_G2_M_time,Match
3,A,59,A,,,23,TRUE,TRUE,Cell leaves the focal plane but reappears quickly,0.8,14.5,FALSE,FALSE,5.2,9.3,
3,A,62,A,,,23,,,,0.8,15.2,FALSE,FALSE,5.2,10.1,
3,B,68,A,,,30,TRUE,TRUE,Cell leaves the focal plane but reappears quickly,0.8,16.8,FALSE,FALSE,7,9.8,
3,B,64,A,,,32,,,,0.8,15.8,FALSE,FALSE,7.5,8.3,
3,C,65,A,,,25,,,,0.8,16,FALSE,FALSE,5.7,10.3,
3,C,63,A,,,27,,,,0.8,15.5,FALSE,FALSE,6.2,9.3,
3,D,55,A,,,24,,,,0.8,13.4,FALSE,FALSE,5.4,8,
3,D,57,A,,,25,,,,0.8,14,FALSE,FALSE,5.7,8.3,
4,A,77,A,,,32,,,,1,18.9,FALSE,FALSE,7.2,11.6,
4,A,454,,TRUE,,,,,,1,116.3,TRUE,FALSE,116.3,0,
4,B,57,B,,,23,,,,1,13.7,FALSE,FALSE,4.9,8.8,
4,B,58,A,,,23,,,,1,14,FALSE,FALSE,4.9,9,
4,C,114,A,,,64,,,,1,28.4,FALSE,FALSE,15.5,12.9,
4,C,192,A,,,143,,,,1,48.6,FALSE,FALSE,35.9,12.7,
4,D,388,A,,,324,,,,1,99.2,FALSE,FALSE,82.7,16.5,
4,D,454,,TRUE,,,,,,1,116.3,TRUE,FALSE,116.3,0,
5,A,66,A,,,26,,,,1.3,15.8,FALSE,FALSE,5.4,10.3,
5,A,454,,TRUE,,29,,,FUCCI goes off at frame 42 without dividing ,1.3,116,TRUE,FALSE,6.2,109.8,
5,B,63,B,,,29,,,,1.3,15,FALSE,FALSE,6.2,8.8,
5,B,349,A,,,290,TRUE,TRUE,Cell leaves the focal plane but reappears quickly,1.3,88.9,FALSE,FALSE,73.6,15.2,
5,C,88,A,,,41,,,,1.3,21.4,FALSE,FALSE,9.3,12.1,
5,C,92,A,,,47,,,,1.3,22.5,FALSE,FALSE,10.9,11.6,
5,D,64,B,,,24,,,,1.3,15.2,FALSE,FALSE,4.9,10.3,
5,D,68,B,,,28,,,,1.3,16.3,FALSE,FALSE,5.9,10.3,
5,E,155,A,,,114,,,,1.3,38.8,FALSE,FALSE,28.2,10.6,
5,E,454,,TRUE,,,,,,1.3,116,TRUE,FALSE,116,0,
